Out bits shaXX number = 15
----------------------------------------------
Collision number 86: ('00f4a480', '002db280')
Collision number 87: ('00bb4000', '00d6c480')
Collision number 88: ('00f4a480', '002db280')
Collision number 89: ('00f4a480', '002db280')
Collision number 90: ('00f4a480', '002db280')
Collision number 91: ('00f4a480', '002db280')
Collision number 92: ('00f4a480', '002db280')
Collision number 93: ('000ed180', '00afbd00')
Collision number 94: ('00f4a480', '002db280')
Collision number 95: ('00f4a480', '002db280')
Collision number 96: ('00f4a480', '002db280')
Collision number 97: ('000ed180', '00afbd00')
Collision number 98: ('00f4a480', '002db280')
Collision number 99: ('00f4a480', '002db280')
Collision number 100: ('00f4a480', '002db280')
Collision number 101: ('00f4a480', '002db280')
Collision number 102: ('00f4a480', '002db280')
Collision number 103: ('00f4a480', '002db280')
Collision number 104: ('00f4a480', '002db280')
Collision number 105: ('00f4a480', '002db280')
Collision number 106: ('000ed180', '00afbd00')
Collision number 107: ('00f4a480', '002db280')
Collision number 108: ('00f4a480', '002db280')
Collision number 109: ('00f4a480', '002db280')
Collision number 110: ('000ed180', '00afbd00')
Collision number 111: ('00f4a480', '002db280')
Collision number 112: ('00a73c80', '00acf000')
Collision number 113: ('005eb280', '00060f00')
Collision number 114: ('00f4a480', '002db280')
Collision number 115: ('00f4a480', '002db280')
Collision number 116: ('0081df80', '0049c080')
Collision number 117: ('00f4a480', '002db280')
Collision number 118: ('00f4a480', '002db280')
Collision number 119: ('00f4a480', '002db280')
Collision number 120: ('00f4a480', '002db280')
Collision number 121: ('00f4a480', '002db280')
Collision number 122: ('00a73c80', '00e21800')
Collision number 123: ('00f4a480', '002db280')
Collision number 124: ('00f4a480', '002db280')
Collision number 125: ('00f4a480', '002db280')
Collision number 126: ('00f4a480', '002db280')
Collision number 127: ('00f4a480', '002db280')
Collision number 128: ('000ed180', '00afbd00')
Collision number 129: ('00f4a480', '002db280')
Collision number 130: ('00f4a480', '002db280')
Collision number 131: ('00f4a480', '002db280')
Collision number 132: ('003a1980', '000cef80')
Collision number 133: ('00f4a480', '002db280')
Collision number 134: ('00f4a480', '002db280')
Collision number 135: ('00f4a480', '002db280')
Collision number 136: ('00f4a480', '002db280')
Collision number 137: ('00f4a480', '002db280')
Collision number 138: ('00f4a480', '002db280')
Collision number 139: ('00f4a480', '002db280')
Collision number 140: ('000ed180', '00afbd00')
Collision number 141: ('00f4a480', '002db280')
Collision number 142: ('00f4a480', '002db280')
Collision number 143: ('00bb4000', '00d6c480')
Collision number 144: ('000ed180', '00afbd00')
Collision number 145: ('000ed180', '00afbd00')
Collision number 146: ('00f4a480', '002db280')
Collision number 147: ('00f4a480', '002db280')
Collision number 148: ('00f4a480', '002db280')
Collision number 149: ('008bf380', '009e1380')
Collision number 150: ('000ed180', '00afbd00')
Collision number 151: ('00f4a480', '002db280')
Collision number 152: ('00f4a480', '002db280')
Collision number 153: ('00f4a480', '002db280')
Collision number 154: ('00f4a480', '002db280')
Collision number 155: ('000ed180', '00afbd00')
Collision number 156: ('00f4a480', '002db280')
Collision number 157: ('0081df80', '0049c080')
Collision number 158: ('00f4a480', '002db280')
Collision number 159: ('000ed180', '00afbd00')
Collision number 160: ('000ed180', '00afbd00')
Collision number 161: ('00f4a480', '002db280')
Collision number 162: ('00f4a480', '002db280')
Collision number 163: ('00f4a480', '002db280')
Collision number 164: ('000ed180', '00afbd00')
Collision number 165: ('000ed180', '00afbd00')
Collision number 166: ('00f4a480', '002db280')
Collision number 167: ('00f4a480', '002db280')
Collision number 168: ('00f4a480', '002db280')
Collision number 169: ('00f4a480', '002db280')
Collision number 170: ('00f4a480', '002db280')
Collision number 171: ('00f4a480', '002db280')
Collision number 172: ('00f4a480', '002db280')
Collision number 173: ('00f4a480', '002db280')
Collision number 174: ('00f4a480', '002db280')
Collision number 175: ('00f4a480', '002db280')
Collision number 176: ('000ed180', '00afbd00')
Collision number 177: ('00f4a480', '002db280')
Collision number 178: ('00f4a480', '002db280')
Collision number 179: ('00f4a480', '002db280')
Collision number 180: ('00f4a480', '002db280')
Collision number 181: ('00f4a480', '002db280')
Collision number 182: ('000ed180', '00afbd00')
Collision number 183: ('00781300', '00a24580')
Collision number 184: ('00f4a480', '002db280')
Collision number 185: ('000fe900', '00530480')
Collision number 186: ('00f4a480', '002db280')
Collision number 187: ('00a73c80', '00e21800')
Collision number 188: ('00f4a480', '002db280')
Collision number 189: ('00f4a480', '002db280')
Collision number 190: ('00f4a480', '002db280')
Collision number 191: ('00f4a480', '002db280')
Collision number 192: ('00f4a480', '002db280')
Collision number 193: ('00f4a480', '002db280')
Collision number 194: ('00f4a480', '002db280')
Collision number 195: ('00f4a480', '002db280')
Collision number 196: ('000ed180', '00afbd00')
Collision number 197: ('000ed180', '00afbd00')
Collision number 198: ('00f4a480', '002db280')
Collision number 199: ('00f4a480', '002db280')
Collision number 200: ('00f4a480', '002db280')
Out bits shaXX number = 18
----------------------------------------------
Collision number 1: ('0079dac0', '00aa9180')
Collision number 2: ('0079dac0', '00aa9180')
Collision number 3: ('00d5a340', '00e62880')
Collision number 4: ('0064c6c0', '00d4e2c0')
Collision number 5: ('0079dac0', '00aa9180')
Collision number 6: ('0064c6c0', '00d4e2c0')
Collision number 7: ('000884c0', '00e59040')
Collision number 8: ('0019bec0', '003786c0')
Collision number 9: ('002f9bc0', '004bdac0')
Collision number 10: ('0079dac0', '00aa9180')
Collision number 11: ('0079dac0', '00aa9180')
Collision number 12: ('0079dac0', '00aa9180')
Collision number 13: ('0052adc0', '001609c0')
Collision number 14: ('001dc340', '00b85f00')
Collision number 15: ('0079dac0', '00aa9180')
Collision number 16: ('000884c0', '00e59040')
Collision number 17: ('0064c6c0', '00d4e2c0')
Collision number 18: ('00665ec0', '0021c100')
Collision number 19: ('00255b00', '004dc5c0')
Collision number 20: ('002ca480', '00a6e080')
Collision number 21: ('0079dac0', '00aa9180')
Collision number 22: ('0079dac0', '00aa9180')
Collision number 23: ('0079dac0', '00aa9180')
Collision number 24: ('0079dac0', '00aa9180')
Collision number 25: ('00d5a340', '00e62880')
Collision number 26: ('00b1ed80', '00313b40')
Collision number 27: ('0079dac0', '00aa9180')
Collision number 28: ('0064c6c0', '00d4e2c0')
Collision number 29: ('001dc340', '00b85f00')
Collision number 30: ('00665ec0', '0021c100')
Collision number 31: ('001dc340', '00b85f00')
Collision number 32: ('0034c600', '00175380')
Collision number 33: ('008f4d00', '00d5a000')
Collision number 34: ('0047a0c0', '005304c0')
Collision number 35: ('00d5a340', '00e62880')
Collision number 36: ('00d5a340', '00e62880')
Collision number 37: ('001dc340', '00b85f00')
Collision number 38: ('00d5a340', '00e62880')
Collision number 39: ('00fb4380', '00290bc0')
Collision number 40: ('0079dac0', '00aa9180')
Collision number 41: ('0064c6c0', '00d4e2c0')
Collision number 42: ('001dc340', '00b85f00')
Collision number 43: ('00b1ed80', '00313b40')
Collision number 44: ('001dc340', '00b85f00')
Collision number 45: ('0079dac0', '00aa9180')
Collision number 46: ('000884c0', '00e59040')
Collision number 47: ('0064c6c0', '00d4e2c0')
Collision number 48: ('00b1ed80', '00313b40')
Collision number 49: ('0079dac0', '00aa9180')
Collision number 50: ('0079dac0', '00aa9180')
Collision number 51: ('0079dac0', '00aa9180')
Collision number 52: ('0079dac0', '00aa9180')
Collision number 53: ('00d5a340', '00e62880')
Collision number 54: ('0064c6c0', '00d4e2c0')
Collision number 55: ('001dc340', '00b85f00')
Collision number 56: ('00d5a340', '00e62880')
Collision number 57: ('0079dac0', '00aa9180')
Collision number 58: ('001dc340', '00b85f00')
Collision number 59: ('00a39900', '003225c0')
Collision number 60: ('0064c6c0', '00d4e2c0')
Collision number 61: ('00332680', '008885c0')
Collision number 62: ('0079dac0', '00aa9180')
Collision number 63: ('001dc340', '00b85f00')
Collision number 64: ('0079dac0', '00aa9180')
Collision number 65: ('00665ec0', '0021c100')
Collision number 66: ('006b1b80', '004c1680')
Collision number 67: ('0079dac0', '00aa9180')
Collision number 68: ('0079dac0', '00aa9180')
Collision number 69: ('0079dac0', '00aa9180')
